id,name,platform,genre,developer,original_release_date
31166,Monopoly Streets,Arcade,Music/Rhythm,Konami Computer Entertainment Tokyo,10/26/2010
32045,The Sims 3: Late Night,PlayStation 3,Shooter,Biart Studio,10/26/2010
32045,The Sims 3: Late Night,Xbox 360,Shooter,Biart Studio,10/26/2010
22432,LEGO Universe,PC,MMORPG,NetDevil,10/26/2010
22432,LEGO Universe,Mac,MMORPG,NetDevil,10/26/2010
27177,Superstars V8 Racing,PlayStation 3,Driving/Racing,MileStone Inc.,10/26/2010
27177,Superstars V8 Racing,Xbox 360,Driving/Racing,MileStone Inc.,10/26/2010
27177,Superstars V8 Racing,PC,Driving/Racing,MileStone Inc.,10/26/2010
31584,WWE SmackDown! vs. RAW 2011,PC,Strategy,Magnussoft Deutschland GmbH,10/26/2010
32898,Nimbus,PlayStation Network (PS3),Shooter,Demiurge Studios,10/25/2010
32898,Nimbus,Xbox Live Marketplace,Shooter,Demiurge Studios,10/25/2010
32899,Oh Noes!!1,Game Boy Color,Sports,Carapace,10/24/2010
32899,Oh Noes!!1,PC,Sports,Carapace,10/24/2010
32899,Oh Noes!!1,PlayStation,Sports,Carapace,10/24/2010
31916,Sesame Street: Cookie's Counting Carnival,PlayStation,Puzzle,Tecmo Koei Co.. Ltd.,10/21/2010
25114,Super Meat Boy,Xbox Live Marketplace,Action,Team Meat,10/20/2010
25114,Super Meat Boy,Wii Shop,Action,Team Meat,10/20/2010
25114,Super Meat Boy,PC,Action,Team Meat,10/20/2010
25114,Super Meat Boy,Mac,Action,Team Meat,10/20/2010
31339,Guardians of Graxia,PC,Puzzle,Microsoft Game Studios,10/20/2010
25933,Fallout: New Vegas,PlayStation 3,Action-Adventure,Obsidian Entertainment,10/19/2010
25933,Fallout: New Vegas,Xbox 360,Action-Adventure,Obsidian Entertainment,10/19/2010
25933,Fallout: New Vegas,PC,Action-Adventure,Obsidian Entertainment,10/19/2010
26815,EA Sports MMA,Xbox 360,Fighting,EA Tiburon,10/19/2010
26815,EA Sports MMA,PlayStation 3,Fighting,EA Tiburon,10/19/2010
29778,DJ Hero 2,Xbox 360,Music/Rhythm,FreeStyleGames Ltd.,10/19/2010
29778,DJ Hero 2,PlayStation 3,Music/Rhythm,FreeStyleGames Ltd.,10/19/2010
29778,DJ Hero 2,Wii,Music/Rhythm,FreeStyleGames Ltd.,10/19/2010
29903,Vanquish,Xbox 360,Shooter,PlatinumGames,10/19/2010
29903,Vanquish,PlayStation 3,Shooter,PlatinumGames,10/19/2010
30010,Rock of the Dead,Xbox 360,Music/Rhythm,Epicenter Studios,10/19/2010
30010,Rock of the Dead,PlayStation 3,Music/Rhythm,Epicenter Studios,10/19/2010
30328,PowerGig: Rise of the SixString,PlayStation 3,Music/Rhythm,Seven45 Studios,10/19/2010
30328,PowerGig: Rise of the SixString,Xbox 360,Music/Rhythm,Seven45 Studios,10/19/2010
30354,The Shoot,PlayStation 3,Light-Gun Shooter,Sony Computer Entertainment America,10/19/2010
23796,Arcania: A Gothic Tale,PlayStation 3,Action-Adventure,Spellbound Studios,10/19/2010
23796,Arcania: A Gothic Tale,PC,Action-Adventure,Spellbound Studios,10/19/2010
23796,Arcania: A Gothic Tale,Xbox 360,Action-Adventure,Spellbound Studios,10/19/2010
30539,Naruto: Ultimate Ninja Storm 2,Vectrex,Fighting,CyberConnect2 Co.. Ltd.,10/19/2010
30539,Naruto: Ultimate Ninja Storm 2,PlayStation 3,Fighting,CyberConnect2 Co.. Ltd.,10/19/2010
30539,Naruto: Ultimate Ninja Storm 2,Xbox 360,Fighting,CyberConnect2 Co.. Ltd.,10/19/2010
32822,RailWorks 2: Train Simulator,Genesis,Simulation,Data East Corporation,10/18/2010
32822,RailWorks 2: Train Simulator,Saturn,Simulation,Data East Corporation,10/18/2010
31667,Kirby's Epic Yarn,PlayStation Network (PS3),Fighting,Virtual Air Guitar Company,10/17/2010
29416,Hook Champ,iPhone,Puzzle,Rocketcat Games,10/16/2010
26599,Ghostwire,DSiWare,Adventure,A Different Game,10/15/2010
29601,Nuclear Dawn,PC,Action,InterWave Studios,10/15/2010
29601,Nuclear Dawn,Xbox 360,Action,InterWave Studios,10/15/2010
29601,Nuclear Dawn,Mac,Action,InterWave Studios,10/15/2010
32796,Grotesque Tactics: Evil Heroes,Mac,Adventure,Telltale Games,10/15/2010
32796,Grotesque Tactics: Evil Heroes,PC,Adventure,Telltale Games,10/15/2010
32796,Grotesque Tactics: Evil Heroes,PlayStation Network (PS3),Adventure,Telltale Games,10/15/2010
31378,DJ Max Portable 3,PC,Puzzle,Magnussoft Deutschland GmbH,10/14/2010
32532,Lord of Arcana,PlayStation 3,Fighting,Playstation C.A.M.P,10/14/2010
27210,Sengoku Basara Samurai Heroes,PlayStation 3,Action,Capcom,10/12/2010
27210,Sengoku Basara Samurai Heroes,Wii,Action,Capcom,10/12/2010
29232,Lufia: Curse of the Sinistrals ,Nintendo DS,Role-Playing,Neverland Co.. Ltd.,10/12/2010
29336,Medal of Honor,Xbox 360,First-Person Shooter,Danger Close Games,10/12/2010
29336,Medal of Honor,PC,First-Person Shooter,Danger Close Games,10/12/2010
29336,Medal of Honor,PlayStation 3,First-Person Shooter,Danger Close Games,10/12/2010
30209,Super Scribblenauts,Nintendo DS,Puzzle,5th Cell Media,10/12/2010
26906,Invizimals,PSP,Puzzle,Novarama,10/12/2010
31301,Just Dance 2 ,Atari 8-bit,Platformer,mhs Studio,10/12/2010
32207,EverQuest: House of Thule,DSiWare,Puzzle,Other Ocean Interactive,10/12/2010
32300,Who's That Flying?!,iPhone,Action,Outbreak Studios,10/12/2010
31908,WRC: FIA World Rally Championship,Xbox Live Marketplace,Simulation,Lighthouse Interactive Game Publishing BV,10/8/2010
32192,Lionheart: King's Crusade,N-Gage,Action-Adventure,Blue Sphere Games Ltd.,10/8/2010
28078,Sonic the Hedgehog 4: Episode 1,Xbox Live Marketplace,Platformer,Dimps Corporation,10/7/2010
28078,Sonic the Hedgehog 4: Episode 1,PlayStation Network (PS3),Platformer,Dimps Corporation,10/7/2010
28078,Sonic the Hedgehog 4: Episode 1,Wii Shop,Platformer,Dimps Corporation,10/7/2010
28078,Sonic the Hedgehog 4: Episode 1,iPhone,Platformer,Dimps Corporation,10/7/2010
11277,Iron Cross,PC,Strategy,New World Computing. Inc.,10/7/2010
28047,Comic Jumper,Xbox Live Marketplace,Dual-Joystick Shooter,Twisted Pixel Games,10/6/2010
32756,ProtoGalaxy,Mac,Action,vectrLab,10/6/2010
32756,ProtoGalaxy,PC,Action,vectrLab,10/6/2010
23704,Castlevania: Lords of Shadow,Xbox 360,Action-Adventure,Mercury Steam Entertainment S.L.,10/5/2010
23704,Castlevania: Lords of Shadow,PlayStation 3,Action-Adventure,Mercury Steam Entertainment S.L.,10/5/2010
28080,Enslaved: Odyssey to the West,Xbox 360,Action,Ninja Theory Ltd.,10/5/2010
28080,Enslaved: Odyssey to the West,PlayStation 3,Action,Ninja Theory Ltd.,10/5/2010
29664,NBA Jam,PlayStation 3,Basketball,EA Canada,10/5/2010
29664,NBA Jam,Xbox 360,Basketball,EA Canada,10/5/2010
29664,NBA Jam,Wii,Basketball,EA Canada,10/5/2010
30731,Oops! Prank Party,Windows Phone 7,Action,Universomo,10/5/2010
30731,Oops! Prank Party,iPhone,Action,Universomo,10/5/2010
9791,Suiko Enbu Fuunsaiki,PlayStation Network (PSP),Fighting,Data East Corporation,10/5/2010
9791,Suiko Enbu Fuunsaiki,PlayStation Network (PS3),Fighting,Data East Corporation,10/5/2010
9791,Suiko Enbu Fuunsaiki,Saturn,Fighting,Data East Corporation,10/5/2010
26656,Def Jam Rapstar,PlayStation 3,Music/Rhythm,Terminal Reality. Inc.,10/5/2010
26656,Def Jam Rapstar,Xbox 360,Music/Rhythm,Terminal Reality. Inc.,10/5/2010
26656,Def Jam Rapstar,Wii,Music/Rhythm,Terminal Reality. Inc.,10/5/2010
27186,Final Fantasy: The 4 Heroes of Light,Nintendo DS,Role-Playing,Square Enix,10/5/2010
31105,Ben 10 Ultimate Alien: Cosmic Destruction,Nintendo DS,Compilation,Electronic Arts,10/5/2010
31387,NBA 2K11,PC,Real-Time Strategy,FireFly Studios Ltd.,10/5/2010
32780,Cut the Rope,NEC PC-9801,Adventure,FairyTale,10/5/2010
28141,Shantae: Risky's Revenge,Nintendo DS,Platformer,WayForward Technologies,10/4/2010
28141,Shantae: Risky's Revenge,DSiWare,Platformer,WayForward Technologies,10/4/2010
26847,Final Fantasy XIV,PlayStation 3,MMORPG,Square Enix,9/30/2010
26847,Final Fantasy XIV,PC,MMORPG,Square Enix,9/30/2010
21151,Hydrophobia,Xbox Live Marketplace,Action-Adventure,Dark Energy Digital,9/29/2010
21151,Hydrophobia,PC,Action-Adventure,Dark Energy Digital,9/29/2010
21151,Hydrophobia,PlayStation Network (PS3),Action-Adventure,Dark Energy Digital,9/29/2010
22864,MorphX,Xbox 360,Action,Targem Games,9/28/2010
22864,MorphX,PC,Action,Targem Games,9/28/2010
24041,Quantum Theory,Xbox 360,Action,Tecmo Koei Co.. Ltd.,9/28/2010
24041,Quantum Theory,PlayStation 3,Action,Tecmo Koei Co.. Ltd.,9/28/2010
25187,Dead Rising 2,Xbox 360,Shooter,Capcom Game Studios Vancouver,9/28/2010
25187,Dead Rising 2,PlayStation 3,Shooter,Capcom Game Studios Vancouver,9/28/2010
25187,Dead Rising 2,PC,Shooter,Capcom Game Studios Vancouver,9/28/2010
26008,Front Mission Evolved,Xbox 360,Action-Adventure,Double Helix Games,9/28/2010
26008,Front Mission Evolved,PlayStation 3,Action-Adventure,Double Helix Games,9/28/2010
26008,Front Mission Evolved,PC,Action-Adventure,Double Helix Games,9/28/2010
30014,Guitar Hero: Warriors of Rock,PlayStation 3,Music/Rhythm,Neversoft Entertainment,9/28/2010
30014,Guitar Hero: Warriors of Rock,Xbox 360,Music/Rhythm,Neversoft Entertainment,9/28/2010
30014,Guitar Hero: Warriors of Rock,Wii,Music/Rhythm,Neversoft Entertainment,9/28/2010
31148,MySims SkyHeroes,PC,Fighting,StudioS,9/28/2010
31846, Battle vs. Chess ,PC,Strategy,Magnussoft Deutschland GmbH,9/28/2010
32223,Rapala Pro Bass Fishing 2010,Famicom Disk System,Action,Bandai Co.. Ltd.,9/28/2010
