"id","name","name","name","original_release_date","image"
19818,"Videocart-3: Video Blackjack","Fairchild Camera and Instrument Corp.","Strategy","1976-01-01","http://media.giantbomb.com/uploads/0/8271/765958-567653_31253_front_thumb.jpg"
29671,"Cinema ","Chicago Coin","Pinball","1976-03-01","http://media.giantbomb.com/uploads/0/4527/1238792-1_thumb.jpg"
19301,"Colossal Cave Adventure","Intelligent-Digital","Adventure","1976-04-01","http://media.giantbomb.com/uploads/0/5028/1329824-colossal_cave_thumb.jpg"
13049,"Breakout","Atari","Action","1976-04-13","http://media.giantbomb.com/uploads/7/73888/1413668-breakout_us_front_thumb.jpg"
28801,"Space Odyssey","Williams Electronic Games, Inc.","Pinball","1976-05-01","http://media.giantbomb.com/uploads/0/4527/1231123-backglass_thumb.jpg"
4787,"Videocart-6: Math Quiz I - Addition, Subtraction","Fairchild Camera and Instrument Corp.","Educational","1977-01-01","http://media.giantbomb.com/uploads/0/8271/770241-927667_66614_front_thumb.jpg"
5719,"Videocart-5: Space War","Fairchild Camera and Instrument Corp.","Action","1977-01-01","http://media.giantbomb.com/uploads/0/8271/765962-927666_66613_front_thumb.jpg"
15441,"Videocart-4: Spitfire","Fairchild Camera and Instrument Corp.","Action","1977-01-01","http://media.giantbomb.com/uploads/0/8271/765960-927665_66612_front_thumb.jpg"
23773,"Blackjack","Atari","Card Game","1977-01-01","http://media.giantbomb.com/uploads/1/15562/645048-b_blackjack_color_front_thumb.jpg"
1811,"Street Racer","Atari","Driving/Racing","1977-10-01","http://media.giantbomb.com/uploads/0/8271/859198-585168_38103_front_thumb.jpg"
3294,"Video Olympics","Atari","Action","1977-10-01","http://media.giantbomb.com/uploads/0/8271/859197-585250_38181_front_thumb.jpg"
5368,"Combat","Atari","Action","1977-10-01","http://media.giantbomb.com/uploads/7/73888/1415321-combat_us_front_thumb.jpg"
23246,"Football","Atari","Football","1978-01-01","http://media.giantbomb.com/uploads/1/15562/544130-b_football_color_front_thumb.jpg"
18923,"Laser Blast","Activision","Action","1978-03-01","http://media.giantbomb.com/uploads/1/15562/610033-b_laserblast_original_front_thumb.jpg"
28880,"Kiss","Bally Mfg. Corp.","Music/Rhythm","1978-04-25","http://media.giantbomb.com/uploads/0/4647/1155397-kisspinball_thumb.jpg"
23729,"Backgammon","Atari","Trivia/Board Game","1979-01-01","http://media.giantbomb.com/uploads/1/15562/635233-b_backgammon_color_front_thumb.jpg"
23772,"Basic Programming","Atari","Educational","1979-01-01","http://media.giantbomb.com/uploads/7/73888/1413648-basicprogramming_us_front_thumb.jpg"
